date,game_pk,batter,name,team,matchup,slot,p_hit,p_no_hit,hit_odds,no_hit_odds,actual_hit
2026-06-25,824747,641857,Ryan Mcmahon,NYY,NYY @ BOS,9,0.2605,0.7395,,,DNP
2026-06-25,823209,813841,Jonah Cox,SF,ATH @ SF,9,0.345,0.655,4900.0,-376.0,0
2026-06-25,824258,676694,Jake Meyers,HOU,HOU @ DET,9,0.237,0.763,,,0
2026-06-25,823612,669004,Mj Melendez,NYM,CHC @ NYM,9,0.2358,0.7642,,,1
2026-06-25,823042,665877,José Fermín,STL,AZ @ STL,9,0.316,0.684,,,1
2026-06-25,823042,694371,Tommy Troy,AZ,AZ @ STL,9,0.3035,0.6965,4900.0,150.0,1
2026-06-25,822797,670032,Nicky Lopez,TEX,TEX @ TOR,9,0.2892,0.7108,-9900.0,9900.0,1
2026-06-25,822961,686475,Tyler Tolbert,KC,KC @ TB,9,0.282,0.718,,,0
2026-06-25,822797,649966,Luis Urías,TOR,TEX @ TOR,9,0.2818,0.7182,,,0
2026-06-25,823209,675961,Alika Williams,ATH,ATH @ SF,9,0.2605,0.7395,,,1
2026-06-25,823366,680779,Henry Davis,PIT,SEA @ PIT,9,0.2598,0.7402,,,1
2026-06-25,824258,701678,Hao-Yu Lee,DET,HOU @ DET,9,0.2595,0.7405,,,1
2026-06-25,822717,660688,Keibert Ruiz,WSH,PHI @ WSH,9,0.2585,0.7415,4900.0,-400.0,0
2026-06-25,824258,543877,Christian Vázquez,HOU,HOU @ DET,9,0.2478,0.7522,,,0
2026-06-25,822961,676439,Hunter Feduccia,TB,KC @ TB,9,0.237,0.763,,,0
2026-06-25,824747,669224,Austin Wells,NYY,NYY @ BOS,9,0.2313,0.7687,4900.0,-203.0,1
2026-06-25,823366,806068,Colt Emerson,SEA,SEA @ PIT,9,0.2313,0.7687,,,0
2026-06-25,823612,683146,Brett Baty,NYM,CHC @ NYM,9,0.2313,0.7687,,,1
2026-06-25,823042,665877,José Fermín,STL,AZ @ STL,9,0.316,0.684,,,1
2026-06-25,823042,694371,Tommy Troy,AZ,AZ @ STL,9,0.3035,0.6965,,,1
2026-06-25,822797,670032,Nicky Lopez,TEX,TEX @ TOR,9,0.2892,0.7108,,,1
2026-06-25,822961,686475,Tyler Tolbert,KC,KC @ TB,9,0.282,0.718,,,0
2026-06-25,823209,675961,Alika Williams,ATH,ATH @ SF,9,0.2605,0.7395,,,1
2026-06-25,823366,680779,Henry Davis,PIT,SEA @ PIT,9,0.2598,0.7402,,,1
2026-06-25,824258,701678,Hao-Yu Lee,DET,HOU @ DET,9,0.2595,0.7405,,,1
2026-06-25,822717,660688,Keibert Ruiz,WSH,PHI @ WSH,9,0.2585,0.7415,,,0
2026-06-25,824258,543877,Christian Vázquez,HOU,HOU @ DET,9,0.2478,0.7522,,,0
2026-06-25,822961,676439,Hunter Feduccia,TB,KC @ TB,9,0.237,0.763,,,0
2026-06-25,824747,680474,Max Schuemann,NYY,NYY @ BOS,9,0.2318,0.7682,,,0
2026-06-25,822797,660821,Jesús Sánchez,TOR,TEX @ TOR,9,0.2313,0.7687,,,0
2026-06-25,823612,683146,Brett Baty,NYM,CHC @ NYM,9,0.2313,0.7687,,,1
2026-06-25,823366,806068,Colt Emerson,SEA,SEA @ PIT,9,0.2313,0.7687,,,0
2026-06-26,823688,668952,Ryan Kreidler,MIN,COL @ MIN,9,0.3216,0.6784,,,1
2026-06-26,824582,686555,Isaac Collins,KC,KC @ CWS,9,0.3155,0.6845,,,1
2026-06-26,824582,671976,Tristan Peters,CWS,KC @ CWS,9,0.3038,0.6962,,,1
2026-06-26,823610,702222,Justin Crawford,PHI,PHI @ NYM,9,0.3598,0.6402,,,0
2026-06-26,823206,622761,Jorge Mateo,ATL,ATL @ SF,9,0.3468,0.6532,,,DNP
2026-06-26,823039,665923,Esteury Ruiz,MIA,MIA @ STL,9,0.3388,0.6612,,,1
2026-06-26,822962,670764,Taylor Walls,TB,AZ @ TB,9,0.2963,0.7037,,,0
2026-06-26,822796,679822,Justin Foscue,TEX,TEX @ TOR,9,0.2878,0.7122,,,1
2026-06-26,823285,669743,Alex Call,LAD,LAD @ SD,9,0.2618,0.7382,,,1
2026-06-26,824743,655316,Andruw Monasterio,BOS,NYY @ BOS,9,0.2618,0.7382,,,DNP
2026-06-26,824743,641857,Ryan Mcmahon,NYY,NYY @ BOS,9,0.2613,0.7387,,,DNP
2026-06-26,824824,683083,Nasim Nuñez,WSH,WSH @ BAL,9,0.2613,0.7387,,,0
2026-06-26,822796,664702,Myles Straw,TOR,TEX @ TOR,9,0.2511,0.7489,,,0
2026-06-26,823688,691720,Kyle Karros,COL,COL @ MIN,9,0.2511,0.7489,,,1
2026-06-26,824423,806068,Colt Emerson,SEA,SEA @ CLE,9,0.2511,0.7489,,,1
2026-06-26,824255,701678,Hao-Yu Lee,DET,HOU @ DET,9,0.2495,0.7505,,,0
2026-06-26,823285,660710,Rodolfo Durán,SD,LAD @ SD,9,0.2441,0.7559,,,1
2026-06-26,824255,676694,Jake Meyers,HOU,HOU @ DET,9,0.2441,0.7559,,,0
2026-06-26,822962,694371,Tommy Troy,AZ,AZ @ TB,9,0.2357,0.7643,,,1
2026-06-26,823773,806198,Cooper Pratt,MIL,CHC @ MIL,9,0.2238,0.7762,,,1
2026-06-26,823363,695490,Edwin Arroyo,CIN,CIN @ PIT,9,0.2238,0.7762,,,DNP
2026-06-26,823039,701675,Nathan Church,STL,MIA @ STL,9,0.2238,0.7762,,,0
2026-06-26,824423,690984,Petey Halpin,CLE,SEA @ CLE,9,0.2238,0.7762,,,0
2026-06-26,823610,669004,Mj Melendez,NYM,PHI @ NYM,9,0.1595,0.8405,,,DNP
2026-06-26,823610,620443,Luis Torrens,NYM,PHI @ NYM,9,0.34,0.66,4900.0,-300.0,0
2026-06-26,824743,669224,Austin Wells,NYY,NYY @ BOS,9,0.3722,0.6278,,,0
2026-06-26,824423,595978,Austin Hedges,CLE,SEA @ CLE,9,0.3699,0.6301,,,0
2026-06-26,823773,621020,Dansby Swanson,CHC,CHC @ MIL,9,0.3652,0.6348,,,0
2026-06-26,823610,682626,Francisco Álvarez,NYM,PHI @ NYM,9,0.3346,0.6654,,,0
2026-06-26,824743,669224,Austin Wells,NYY,NYY @ BOS,9,0.3722,0.6278,,,0
2026-06-26,824423,595978,Austin Hedges,CLE,SEA @ CLE,9,0.3699,0.6301,,,0
2026-06-26,823773,621020,Dansby Swanson,CHC,CHC @ MIL,9,0.3652,0.6348,,,0
2026-06-26,823610,682626,Francisco Álvarez,NYM,PHI @ NYM,9,0.3346,0.6654,,,0
2026-06-27,822794,676914,Davis Schneider,TOR,TEX @ TOR,7,0.3752,0.6248,,,DNP
2026-06-27,822960,810938,Ben Williamson,TB,AZ @ TB,7,0.3689,0.6311,,,DNP
2026-06-27,824581,805367,Chase Meidroth,CWS,KC @ CWS,7,0.3652,0.6348,,,1
2026-06-27,823364,680574,Matt Mclain,CIN,CIN @ PIT,8,0.3609,0.6391,,,DNP
2026-06-27,823207,642201,Eli White,ATL,ATL @ SF,7,0.3609,0.6391,,,DNP
2026-06-27,823770,669003,Garrett Mitchell,MIL,CHC @ MIL,7,0.3572,0.6428,,,0
2026-06-27,823283,664034,Ty France,SD,LAD @ SD,7,0.3422,0.6578,,,DNP
2026-06-27,823364,663968,Jake Mangum,PIT,CIN @ PIT,8,0.3679,0.6321,,,1
2026-06-27,822794,679822,Justin Foscue,TEX,TEX @ TOR,9,0.3679,0.6321,,,DNP
2026-06-27,824581,679845,Nick Loftin,KC,KC @ CWS,7,0.3679,0.6321,,,0
2026-06-27,823364,682622,Noelvi Marte,CIN,CIN @ PIT,7,0.3616,0.6384,,,0
2026-06-27,823609,624641,Edmundo Sosa,PHI,PHI @ NYM,8,0.3608,0.6392,,,0
2026-06-27,823609,592663,J. T. Realmuto,PHI,PHI @ NYM,7,0.3581,0.6419,,,1
2026-06-27,823609,682626,Francisco Álvarez,NYM,PHI @ NYM,7,0.3574,0.6426,,,0
2026-06-27,823207,622761,Jorge Mateo,ATL,ATL @ SF,9,0.3782,0.6218,,,DNP
