batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,bvp_career,bvp_since,b_hit_rate,b_xba,b_hardhit,b_babip,b_k_rate,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_k_rate,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3,p_era,p_whip_official,p_ip,p_wins,p_losses,p_so,p_bb_official,p_saves,p_blown_saves,p_save_opps,p_games_started,p_role,p_games_pitched,p_bf_official,p_hits_allowed,p_bf_per_g,p_k9,p_bb9,p_h9,p_hr9,p_avg_bf,pen_delta,pen_available_n,pen_rested_frac,def_oaa_tonight,def_oaa_n,sched_games_7d,sched_day_after_night,sched_getaway,sched_tz_shift,b_pa,b_bb_rate,b_hit_rate_long,b_k_rate_long,b_bb_rate_long,b_hardhit_long,b_xba_long,p_hit_rate_vs_hand,slot_pa_exp,def_babip_allowed
665487,Fernando Tatís,R,SD,1,Riley Cornelio,R,683000.0,823250,WSH @ SD,6:40 PM,08/09,Scheduled,0.7293487268163922,-233.0,245.0,70.0,False,1101110011,estimated,0,0,0.0,0,0,0.2878695923678921,0.4054864159109605,0.6137794043624601,0.37259007542676814,0.15601346471038785,20,1,-0.05747600157986027,0.954,42.8,D,0.2754880694143167,1.4790516149757496,0.46562546046858305,0.2676453852899076,12,6,0,0.3262411347517731,0.2687651331719128,0.4923413566739606,0.5076586433260394,0.0,0.27610481032459916,0.26835043409629045,0.22325581395348837,0.2663687150837989,0.2579710144927536,391,0.3253588516746411,230,False,True,0.7093844836465794,0.019964243169812823,3.9290780141843973,4.404255319148936,141,,,,,,,0.013421357550941825,20,5.96,1.81,22.2,2.0,2.0,23.0,21.0,0.0,1.0,1.0,0.0,RP,12.0,107.0,20.0,8.9,9.13,8.34,7.94,0.79,8.60922156175135,-0.01597094903861429,9,0.9,4.0,6,6,0,0,0.0,4.33048089717246,0.026921654574570856,0.2860125260960334,0.17890772128060264,0.07532956685499058,0.5177517361111111,0.37298177083333334,0.30952380952380953,4.443,0.3205741078286049
650490,Yandy Díaz,R,TB,1,Aj Smith-Shawver,R,700363.0,824875,TB @ ATL,4:15 PM,08/09,Scheduled,0.7259918141852859,,,,False,1110111101,estimated,0,0,0.0,0,0,0.3163275727412496,0.3803195478354738,0.5675848262660635,0.379265911291582,0.12491554913977154,20,2,-0.0197372796807449,1.018,53.6,C,0.2625,,,,4,7,0,0.3161290322580645,0.2963917525773196,0.484375,0.15,0.365625,0.2769808743169399,0.29130434782608694,0.2570806100217865,0.2787785588752197,0.26744186046511625,382,0.36180904522613067,227,False,False,0.6952832498473853,0.03070856433790059,3.9635036496350367,4.445255474452555,137,,,,,,,0.2713200875347193,20,7.13,1.75,17.2,0.0,1.0,15.0,11.0,0.0,0.0,0.0,4.0,SP,4.0,84.0,20.0,21.0,7.64,5.6,10.19,1.02,,-0.020106099899571683,7,0.875,12.0,7,6,0,0,1.0,4.575184636201788,0.059013317169759966,0.29497907949790797,0.14634146341463414,0.07317073170731707,0.47725,0.345048125,0.34615384615384615,4.443,0.3039559949254417
624413,Pete Alonso,R,BAL,3,Tanner Bibee,R,676440.0,824792,CLE @ BAL,3:35 PM,08/09,Scheduled,0.7149502199845745,-186.0,194.0,65.0,False,0101110010,estimated,6,3,0.5,1,2023,0.22659904153455632,0.37388086254393876,0.5678568354150452,0.32787743847187384,0.24495992817153747,20,1,-0.02045785161932473,1.044,64.1,C,0.2799842705465985,2.4207375124766677,0.35974562821052686,0.18622125846903234,20,5,0,0.2810810810810811,0.26062322946175637,0.6901297679905624,0.16437278804561542,0.14549744396382225,0.2588971450919046,0.2741412832145172,0.2927272727272727,0.26789937647817674,0.2809667673716012,373,0.2463768115942029,252,False,False,0.6713167677825282,0.043633452202046286,3.736111111111111,4.340277777777778,144,,,,,,,-0.01905951801327511,20,4.06,1.18,166.1,5.0,15.0,132.0,51.0,0.0,0.0,0.0,29.0,SP,29.0,684.0,146.0,23.6,7.14,2.76,7.9,1.41,24.55794355636439,-0.06346271998457453,8,1.0,16.0,7,7,0,0,0.0,4.285085591939685,0.11037405710261536,0.27839643652561247,0.23166023166023167,0.09845559845559845,0.5704154002026343,0.40572948328267483,0.24031007751937986,4.251,0.3385385709393693
691406,Junior Caminero,R,TB,3,Aj Smith-Shawver,R,700363.0,824875,TB @ ATL,4:15 PM,08/09,Scheduled,0.7133302117145911,-212.0,233.0,68.0,False,1111100110,estimated,0,0,0.0,0,0,0.2827428055036941,0.3782238706900509,0.5463984674661272,0.3791999166094794,0.19518370445027,20,2,0.0067291516462388845,1.018,53.6,C,0.2625,,,,4,7,0,0.273972602739726,0.2807017543859649,0.484375,0.15,0.365625,0.30413943355119827,0.2795558458523841,0.3101361573373676,0.29674439067311925,0.3058823529411765,376,0.23414634146341465,247,False,False,0.6889901032643803,0.02434010845021084,3.8380281690140845,4.387323943661972,142,,,,,,,0.2598234683027808,20,7.13,1.75,17.2,0.0,1.0,15.0,11.0,0.0,0.0,0.0,4.0,SP,4.0,84.0,20.0,21.0,7.64,5.6,10.19,1.02,,-0.017215926000305304,7,0.875,12.0,7,6,0,0,1.0,4.4464146187578955,0.04774583205959436,0.28665207877461707,0.18929254302103252,0.08986615678776291,0.5237430167597765,0.3492011173184357,0.34615384615384615,4.251,0.3039559949254417
660271,Shohei Ohtani,L,LAD,1,Nick Lodolo,L,666157.0,823901,CIN @ LAD,7:10 PM,08/09,Scheduled,0.7102807290844372,-223.0,233.0,69.0,False,0110010100,estimated,7,1,0.14285714285714285,1,2025,0.16871864290147187,0.33854965596097636,0.39429590870216263,0.22753240124003463,0.32597772048889107,20,1,0.0002589715131335324,0.973,28.4,F,0.2605540897097625,2.076701803242393,0.4297450508985321,0.1865798374811488,17,7,0,0.27672955974842767,0.27647058823529413,0.525065963060686,0.2407651715039578,0.2341688654353562,0.28725236864771747,0.270956816257409,0.2567237163814181,0.27835051546391754,0.2931596091205212,363,0.25,229,False,False,0.6789537145111012,0.031327014573335976,3.868217054263566,4.589147286821706,129,,,,,,,-0.06724246636305088,20,5.08,1.52,85.0,3.0,3.0,69.0,35.0,0.0,0.0,0.0,17.0,SP,17.0,383.0,94.0,22.5,7.31,3.71,9.95,1.69,22.28423079730498,-0.04174072908443727,5,0.625,16.0,7,7,0,0,0.0,4.6056384852231504,0.12986236806719254,0.27896995708154504,0.24,0.10181818181818182,0.5189620758483035,0.40881586826347305,0.34615384615384615,4.443,0.35214551762163837
677951,Bobby Witt,R,KC,2,Corbin Burnes,R,669203.0,824063,AZ @ KC,4:40 PM,08/09,Scheduled,0.7093844836465794,-245.0,270.0,71.0,False,1101101110,estimated,12,3,0.25,1,2023,0.25309946809810574,0.42364437361108787,0.5081150782716096,0.32611530761726737,0.15082655207984705,20,1,0.03425022182786158,1.028,,,,,,,0,0,0,0.2585034013605442,0.2927536231884058,,,,0.26146384479717816,0.2635486265775798,0.26903553299492383,0.2634983826822593,0.2912621359223301,337,0.2677595628415301,221,False,False,0.7049091921288199,0.004475291517759494,3.9047619047619047,4.428571428571429,126,,,,,,,0.25017392875756206,20,,,,,,,,,,,,,,,,,,,,,,-0.01268448364657937,4,0.4,27.0,7,7,0,0,0.0,4.559863543510913,0.08952534775161425,0.2835820895522388,0.17293233082706766,0.09210526315789473,0.5207780725022104,0.3774526967285588,,4.352,0.28826692178199254
677942,Blaze Alexander,R,BAL,2,Tanner Bibee,R,676440.0,824792,CLE @ BAL,3:35 PM,08/09,Scheduled,0.7023015315382493,,,,False,1100111000,estimated,0,0,0.0,0,0,0.2688159737989781,0.3646693245102972,0.5363683725927714,0.33964168958271373,0.2568704257215696,20,1,0.030664823425914256,1.044,64.1,C,0.2799842705465985,2.4207375124766677,0.35974562821052686,0.18622125846903234,20,5,0,0.28440366972477066,0.3150684931506849,0.6901297679905624,0.16437278804561542,0.14549744396382225,0.30552659019812306,0.29523809523809524,0.3081395348837209,0.30303030303030304,0.34615384615384615,148,0.256,136,False,False,0.6713167677825282,0.030984763755721012,3.1481481481481484,3.506172839506173,81,,,,,,,-0.015909694551558228,20,4.06,1.18,166.1,5.0,15.0,132.0,51.0,0.0,0.0,0.0,29.0,SP,29.0,684.0,146.0,23.6,7.14,2.76,7.9,1.41,24.55794355636439,-0.050101531538249366,8,1.0,16.0,7,7,0,0,0.0,4.077592268399549,0.07024960377086434,0.2819843342036554,0.2540792540792541,0.06526806526806526,0.4668491484184915,0.366897201946472,0.24031007751937986,4.352,0.3385385709393693
700250,Ben Rice,L,NYY,2,Gabriel Hughes,R,687312.0,823500,COL @ NYY,4:05 PM,08/09,Scheduled,0.7023015315382493,-212.0,223.0,68.0,False,1110011110,estimated,0,0,0.0,0,0,0.33057016535764666,0.37179694218357096,0.46894368173220347,0.4139909970482755,0.21843943038665892,20,2,-0.018700110101844192,1.007,57.5,C,0.25,1.9472279125686187,0.29613091453757134,0.17151853373621112,11,7,0,0.27167630057803466,0.25297619047619047,0.623608017817372,0.26169265033407574,0.11469933184855234,0.23975720789074356,0.23876404494382023,0.22982216142270862,0.2383706917329477,0.23934426229508196,347,0.28921568627450983,241,False,True,0.6584211041567225,0.043880427381526754,3.7426470588235294,4.323529411764706,136,,,,,,,0.18726740481084286,20,6.19,1.43,52.1,0.0,6.0,42.0,21.0,1.0,0.0,1.0,10.0,SP,11.0,231.0,54.0,21.0,7.22,3.61,9.29,0.86,21.313422373320474,-0.025201531538249222,8,0.8,3.0,6,5,0,0,3.0,4.58114946292521,0.10976537400233388,0.2510822510822511,0.24045801526717558,0.10114503816793893,0.4680059523809524,0.36576488095238097,0.25757575757575757,4.352,0.35339953500268567
670541,Yordan Álvarez,L,HOU,2,Andrew Painter,R,691725.0,823414,HOU @ PHI,3:40 PM,08/09,Scheduled,0.6960493234471677,-223.0,245.0,69.0,False,0101010101,estimated,0,0,0.0,0,0,0.25841298127802914,0.36826676971285777,0.45036373958535875,0.30419339139775925,0.20130175786665647,20,2,0.08195200395843638,1.009,64.6,C,0.2739648326715825,2.4461318115159547,0.351186027525663,0.2053113110123857,20,6,0,0.2558139534883721,0.3377659574468085,0.41747022121384003,0.41123085649461144,0.1712989222915485,0.31199677938808373,0.29577464788732394,0.376425855513308,0.3195067264573991,0.3463855421686747,396,0.26011560693641617,222,False,True,0.6966798352361602,-0.0006305117889924272,3.5815602836879434,4.382978723404255,141,,,,,,,0.052994647272636766,20,5.55,1.37,105.1,3.0,8.0,91.0,37.0,0.0,0.0,0.0,19.0,SP,21.0,456.0,107.0,21.7,7.78,3.16,9.14,1.45,22.0222780389977,-0.009435037732882012,7,0.875,-12.0,7,6,0,0,1.0,4.292273559335535,0.08689797849643911,0.31322505800464034,0.18546845124282982,0.10516252390057361,0.5466067864271457,0.41448203592814375,0.29098360655737704,4.352,0.2646844715845042
676475,Alec Burleson,L,STL,2,Landen Roupp,R,694738.0,823174,STL @ SF,6:45 PM,08/09,Scheduled,0.6944025787119212,-212.0,245.0,68.0,False,0010001111,estimated,0,0,0.0,0,0,0.23239090981965457,0.29173587510863186,0.4882139802694618,0.30560374637942744,0.23394550417526233,20,1,0.020028011204481777,0.994,64.0,C,0.27651217596229377,1.559713572172161,0.2943841639369685,0.1901313534006832,20,6,0,0.2642857142857143,0.28431372549019607,0.5371608336610303,0.2567833267793944,0.2060558395595753,0.29719448407037563,0.2433052792654935,0.3333333333333333,0.2869689057678614,0.2934131736526946,363,0.2570093457943925,243,False,False,0.685557264060062,0.008845314651859226,3.832167832167832,4.2377622377622375,143,,,,,,,0.09849620666585243,20,4.17,1.29,144.2,8.0,13.0,137.0,68.0,0.0,0.0,0.0,27.0,SP,27.0,614.0,119.0,22.7,8.52,4.23,7.4,0.68,22.821837881102788,0.007630754621412161,6,0.5454545454545454,-5.0,6,7,0,0,0.0,4.40184767261014,0.029112825330414396,0.28289473684210525,0.18127490039840638,0.06573705179282868,0.4915525114155251,0.36550136986301374,0.21451104100946372,4.352,0.3093231634203867
